1,HH,0,0.5442454522133864,0.3368607371281907
2,I(OTH_EMP + OFF_EMP),0,0.9134845947743673,0.7195154786733906
3,OFF_EMP,0.6909682621190382,0.3531248145065723,0.28484166920435317
4,OTH_EMP,1.6779444615259458,0.3246369000613506,0.2801954015998056
5,RET_EMP,0.7590710048081646,4.25996276496228,5.779472820017807
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
NA,NA,NA,NA,NA
